"","decimalLongitude","decimalLatitude"
"1",-4.498453,40.354348
"2",-7.298722,39.978669
"3",-8.628337,40.687151
"4",-9.240556,38.773613
"5",-8.391874,38.785458
"6",-7.977465,37.049165
"7",3.90391,43.778955
"8",6.980896,43.563405
"9",3.275486,43.636607
"10",-7.501585,37.491767
"11",-8.004115,37.206412
"12",-9.241944,39.086944
"13",-9.241908,39.089902
"14",-16.701279,28.341352
"15",-16.701569,28.339996
"16",-7.975413,37.04506
"17",-3.857819,40.423546
"18",-9.233333,38.738889
"19",-9.188333,38.897222
"20",-8.935601,38.753174
"21",-8.228821,40.302414
"22",-8.860556,40.197224
"23",-9.163384,38.618779
"24",-8.517069,41.232459
"25",9.388903,44.283308
"26",-8.544167,38.965
"27",-9.24,38.773333
"28",-9.197062,38.417926
"29",-8.650833,39.095556
"30",3.156896,39.760452
"31",3.134365,39.780704
"32",-6.942086,40.876949
"33",8.25586,44.1461
"34",8.24625,44.14376
"35",8.24747,44.15491
"36",8.24857,44.153581
"37",8.25416,44.14952
"38",-9.241944,38.771111
"39",-9.255651,39.3148
"40",-7.977343,37.048508
"41",-16.346818,28.497995
"42",-6.541719,37.142597
"43",5.51025,43.35221
"44",-8.228965,40.302195
"45",-8.904503,37.19604
"46",-1.614036,38.080463
"47",10.322944,42.741425
"48",7.650829,43.829437
"49",-16.336188,28.50662
"50",-8.07411,38.954922
"51",10.279083,42.787338
"52",-9.027573,38.641402
"53",-16.699023,28.344051
"54",2.740565,42.610155
"55",2.735295,42.605615
"56",2.76185,42.5653
"57",2.755315,42.61173
"58",2.76614,42.741515
"59",2.559035,42.87014
"60",2.54562,42.78423
"61",2.53814,42.79271
"62",-16.391443,28.430366
"63",-8.204251,37.600379
"64",-9.02849,38.640933
"65",-9.031807,38.475813
"66",-6.124033,37.43248
"67",-7.976875,37.048907
"68",-9.029775,38.640581
"69",-9.202892,43.135743
"70",-8.805836,42.253133
"71",2.804231,43.350565
"72",-0.469305,38.716008
"73",2.513275,42.672355
"74",2.5658,42.699
"75",2.55721,42.73881
"76",2.50809,42.68159
"77",2.46634,42.792595
"78",2.466715,42.79167
"79",-8.191112,39.936668
"80",-9.285556,38.834444
"81",-9.041934,38.615081
"82",-8.891716,42.486161
"83",-7.539166,39.661667
"84",-7.690278,39.647778
"85",-7.407778,39.304722
"86",-7.403889,39.304444
"87",-8.731056,40.676906
"88",-9.229733,39.284877
"89",-9.292302,39.279958
"90",-1.65151,46.423802
"91",-9.29866,38.959247
"92",-9.29866,38.959245
