"","decimalLongitude","decimalLatitude"
"1",-8.228755,40.302443
"2",-0.77644,51.10263
"3",-0.7848,51.10515
"4",-8.598231,41.265841
"5",-3.47581,47.71629
"6",-0.96599,51.27442
"7",-0.96599,51.2745
"8",-0.66996,51.29382
"9",-0.96783,51.2756
"10",-0.67661,51.28706
"11",-0.67661,51.28706
"12",-0.67661,51.28697
"13",-0.95678,51.27577
"14",-1.484956,50.804861
"15",-7.825101,40.372439
"16",-8.868894,41.892585
"17",0.456255,51.072322
"18",-1.627605,50.815403
"19",3.04397,51.17446
"20",1.90264,47.96321
"21",1.872225,48.63924
"22",-0.95678,51.27577
"23",-0.77644,51.10263
"24",-0.96599,51.2745
"25",-0.7848,51.10515
"26",-0.96783,51.2756
"27",-0.96599,51.27442
"28",-1.136464,47.26046
"29",-8.741667,41.340279
"30",-8.074575,39.086084
"31",3.04398,51.17451
"32",-8.686867,38.866417
"33",-7.867594,41.379005
"34",-7.867869,41.239615
"35",2.185455,47.359165
"36",3.04997,51.17454
"37",-0.90736,43.68386
"38",-0.72395,44.68148
"39",-0.72395,44.68148
"40",-0.72395,44.68148
"41",-0.35108,44.78351
"42",-0.72395,44.68148
"43",-0.72395,44.68148
"44",-0.72395,44.68148
"45",-0.72395,44.68148
"46",-0.59789,44.68565
"47",-0.72395,44.68148
"48",-0.59789,44.68565
"49",-0.72395,44.68148
"50",-0.20936,44.51741
"51",-0.72395,44.68148
"52",-0.72395,44.68148
"53",-0.72395,44.68148
"54",-0.72395,44.68148
"55",-0.72395,44.68148
"56",-0.63859,45.31525
"57",-0.72395,44.68148
"58",-0.35645,44.87347
"59",-0.42121,43.13565
"60",-8.20074,37.15976
"61",-8.08975,37.170071
"62",0.64094,45.25946
"63",1.02649,45.17686
"64",0.64094,45.25946
"65",0.50949,45.34669
"66",-1.38878,43.48526
"67",-0.26232,43.2549
"68",-0.38527,43.25111
"69",-0.4443,44.24001
"70",-0.4443,44.24001
"71",-0.56938,44.23602
"72",-0.44977,44.32994
"73",-0.4443,44.24001
"74",-0.56373,44.1461
"75",-0.43885,44.15009
"76",-0.43885,44.15009
"77",-0.56938,44.23602
"78",-0.56373,44.1461
"79",-0.31395,44.15394
"80",-0.56938,44.23602
"81",-0.56373,44.1461
"82",-0.4443,44.24001
"83",-0.58073,44.41586
"84",-0.82554,44.3175
"85",-0.82554,44.3175
"86",-0.56373,44.1461
"87",-0.81948,44.2276
"88",-0.81948,44.2276
"89",-0.56938,44.23602
"90",-0.56938,44.23602
"91",-0.43885,44.15009
"92",-0.58073,44.41586
"93",-0.56373,44.1461
"94",-0.70031,44.32179
"95",-0.82554,44.3175
"96",-0.70619,44.41171
"97",-0.81948,44.2276
"98",-0.4443,44.24001
"99",-0.82554,44.3175
"100",-0.70619,44.41171
"101",-0.55249,43.96628
"102",-1.155,43.67468
"103",-1.17465,43.94427
"104",-1.03752,43.76921
"105",-1.16153,43.76454
"106",-1.155,43.67468
"107",-1.17465,43.94427
"108",-1.03752,43.76921
"109",-0.55249,43.96628
"110",-1.03752,43.76921
"111",-1.17465,43.94427
"112",-1.18124,44.03414
"113",-1.155,43.67468
"114",-1.30581,44.02931
"115",-0.55249,43.96628
"116",-0.06411,44.1612
"117",-0.07384,44.34109
"118",-0.07384,44.34109
"119",0.19468,43.98801
"120",-0.07384,44.34109
"121",-0.06897,44.25115
"122",-0.07384,44.34109
"123",-0.07384,44.34109
"124",-0.06411,44.1612
"125",-0.37267,45.14333
"126",-0.20936,44.51741
"127",-0.37267,45.14333
"128",-1.04711,45.66187
"129",-8.180866,42.02771
"130",2.6462,42.63501
"131",2.43108,46.55126
"132",0.13591,45.15755
"133",1.03284,44.99683
"134",0.00874,45.15422
"135",0.00392,45.24419
"136",0.13129,45.24754
"137",0.13591,45.15755
"138",0.64094,45.25946
"139",0.13591,45.15755
"140",0.13591,45.15755
"141",-1.142,43.49498
"142",-1.38878,43.48526
"143",-0.4443,44.24001
"144",-0.81948,44.2276
"145",-0.56373,44.1461
"146",-0.70619,44.41171
"147",-0.56373,44.1461
"148",-0.4443,44.24001
"149",-0.56373,44.1461
"150",-0.4443,44.24001
"151",-0.70619,44.41171
"152",-0.82554,44.3175
"153",-0.82554,44.3175
"154",-0.44977,44.32994
"155",-0.95077,44.31307
"156",-0.4443,44.24001
"157",-0.56373,44.1461
"158",-0.44977,44.32994
"159",-1.17465,43.94427
"160",-1.27878,43.66988
"161",-0.06411,44.1612
"162",-0.07384,44.34109
"163",-0.06897,44.25115
"164",-0.06897,44.25115
"165",-0.06897,44.25115
"166",-0.72395,44.68148
"167",-0.59789,44.68565
"168",-0.72395,44.68148
"169",-0.72395,44.68148
"170",-0.72395,44.68148
"171",-0.72395,44.68148
"172",-0.59789,44.68565
"173",-0.72395,44.68148
"174",-0.72395,44.68148
"175",-0.72395,44.68148
"176",-0.72395,44.68148
"177",-0.59789,44.68565
"178",-0.72395,44.68148
"179",-0.72395,44.68148
"180",-0.07873,44.43104
"181",-0.07873,44.43104
"182",-0.59789,44.68565
"183",-0.59789,44.68565
"184",-0.72395,44.68148
"185",-0.72395,44.68148
"186",-0.59789,44.68565
"187",-0.72395,44.68148
"188",-0.37267,45.14333
"189",-0.24555,45.14711
"190",-0.72395,44.68148
"191",-0.07873,44.43104
"192",-0.72395,44.68148
"193",-0.59789,44.68565
"194",-0.72395,44.68148
"195",-0.77644,51.10263
"196",-1.86878,50.79549
"197",-0.4319,43.12735
"198",-0.49205,43.06302
"199",-1.38878,43.48526
"200",-0.02579,43.44184
"201",-0.02579,43.44184
"202",-0.26232,43.2549
"203",-0.57505,44.32594
"204",-0.6886,44.14197
"205",-0.43885,44.15009
"206",-0.56938,44.23602
"207",-0.57505,44.32594
"208",-0.56373,44.1461
"209",-0.43885,44.15009
"210",-0.5581,44.05619
"211",-0.69444,44.23188
"212",-0.31395,44.15394
"213",-0.56938,44.23602
"214",-0.56938,44.23602
"215",-0.43342,44.06017
"216",-0.56938,44.23602
"217",-0.69444,44.23188
"218",-0.69444,44.23188
"219",-0.9445,44.22317
"220",-0.43342,44.06017
"221",-0.5581,44.05619
"222",-0.43885,44.15009
"223",-0.43885,44.15009
"224",-0.4443,44.24001
"225",-0.43342,44.06017
"226",-0.56938,44.23602
"227",-0.56938,44.23602
"228",-0.56938,44.23602
"229",-0.81948,44.2276
"230",-0.70031,44.32179
"231",-0.56938,44.23602
"232",-0.57505,44.32594
"233",-0.43885,44.15009
"234",-0.43885,44.15009
"235",-0.57505,44.32594
"236",-0.43885,44.15009
"237",-0.56938,44.23602
"238",-1.27208,43.58003
"239",-0.06897,44.25115
"240",-0.07384,44.34109
"241",-0.07384,44.34109
"242",-0.07384,44.34109
"243",0.06548,44.07468
"244",0.19468,43.98801
"245",0.07011,43.98474
"246",-0.07384,44.34109
"247",0.07011,43.98474
"248",0.19468,43.98801
"249",0.19468,43.98801
"250",0.19468,43.98801
"251",-0.20936,44.51741
"252",-0.20936,44.51741
"253",-0.20936,44.51741
"254",-0.20936,44.51741
"255",-0.20936,44.51741
"256",-0.20936,44.51741
"257",-0.20936,44.51741
"258",1.70907,48.69814
"259",1.70907,48.69814
"260",0.07834,51.03363
"261",0.07388,51.03587
"262",-1.34834,50.81604
"263",0.07872,51.03893
"264",0.07623,51.03736
"265",-0.23466,43.01063
"266",3.60084,45.51561
"267",-0.82554,44.3175
"268",-0.82554,44.3175
"269",-0.9445,44.22317
"270",-0.9445,44.22317
"271",-0.82554,44.3175
"272",-0.9445,44.22317
"273",-0.9445,44.22317
"274",-0.95705,44.40298
"275",0.19468,43.98801
"276",-0.06411,44.1612
"277",-0.18904,44.15764
"278",0.07011,43.98474
"279",0.19468,43.98801
"280",0.30651,44.261
"281",-0.06897,44.25115
"282",-0.06411,44.1612
"283",0.07011,43.98474
"284",-0.84385,44.58724
"285",2.93798,43.664
"286",2.69105,43.48363
"287",2.81432,43.57389
"288",-0.36952,42.98153
"289",2.81432,43.57389
"290",-0.95678,51.27577
"291",-0.96599,51.27442
"292",-0.96783,51.2756
"293",-0.96599,51.2745
"294",-0.37163,42.97615
"295",3.04391,51.17451
"296",0.89244,45.35456
"297",0.89244,45.35456
"298",1.02649,45.17686
"299",0.3903,45.16379
"300",0.3903,45.16379
"301",0.3903,45.16379
"302",0.89244,45.35456
"303",1.0169,45.4469
"304",0.3903,45.16379
"305",0.38609,45.25379
