"","decimalLongitude","decimalLatitude"
"1",-7.97663,37.029188
"2",-7.972882,37.041281
"3",-8.826944,40.232777
"4",3.156896,39.760452
"5",3.124924,39.772263
"6",3.136768,39.766457
"7",3.134365,39.780704
"8",-6.628991,37.048065
"9",-6.532058,37.135139
"10",-6.566691,37.0485
"11",-6.566691,37.0485
"12",-6.532058,37.135139
"13",-6.498349,37.125134
"14",-8.982739,37.030514
"15",-8.801937,37.654099
"16",9.108252,41.4231
"17",-6.415812,37.125835
"18",-9.02795,38.638972
"19",8.92419,41.040501
"20",-9.028465,38.639964
"21",-9.028496,38.640364
"22",-8.037961,39.038868
"23",-6.445662,37.074588
"24",-6.5716,37.049563
"25",3.124924,39.772263
"26",3.156896,39.760452
"27",3.136768,39.766457
"28",3.134365,39.780704
"29",-8.492411,37.261757
"30",-8.97803,37.028606
"31",-8.80164,37.65998
"32",-8.1849,37.091096
"33",-8.012222,37.02639
"34",-7.9749,37.02829
"35",-0.79827,44.41258
"36",-6.503112,37.126194
"37",-6.500352,37.125352
"38",-6.545911,37.145953
"39",-6.523056,37.130278
"40",-6.521389,37.129167
"41",-6.498611,37.123056
"42",-6.498349,37.125134
"43",-6.656671,37.133648
"44",-8.71735,37.45152
"45",-8.82959,37.81227
"46",-8.4837,38.53227
"47",-6.22,38
"48",9.517207,42.579883
"49",9.805219,40.536424
"50",-0.18,39.02
"51",-0.18,39.02
"52",-6.434447,37.042729
"53",-8.67,38.59
"54",-6.566691,37.0485
"55",-6.525857,36.985245
"56",-6.586508,37.048275
"57",-6.566691,37.0485
"58",-6.2,37.24
"59",-6.2,37.24
"60",-6.2,37.24
"61",-6.16,37.23
"62",-8.77808,37.06559
"63",9.31104,41.67412
"64",-1.21097,43.78799
"65",-8.48752,37.99154
"66",-8.0436,37.08744
"67",-8.82811,38.44316
"68",-8.82811,38.44316
"69",-8.82811,38.44316
"70",-8.82811,38.44316
"71",-8.82811,38.44316
"72",-9.05737,38.53339
"73",-8.82811,38.44316
"74",-8.82811,38.44316
"75",-8.82811,38.44316
"76",-8.8279,38.53328
"77",-8.82811,38.44316
"78",-8.78,38.36
"79",-8.78,38.14
"80",-8.71352,38.44293
"81",3.156896,39.760452
"82",3.140202,39.762104
"83",3.134365,39.780704
"84",-8.71099,39.07375
"85",-8.70568,40.33517
"86",-8.82341,40.33541
"87",-8.82341,40.33541
"88",-0.31,39.34
"89",-0.31,39.33
"90",-0.31,39.33
"91",-0.31,39.33
"92",-0.31,39.33
"93",-0.31,39.33
"94",-0.3,39.33
"95",3.124924,39.772263
"96",3.134365,39.780704
"97",9.36726,41.7424
"98",-8.82896,38.08266
"99",-8.82917,37.99253
"100",-8.8302,37.54187
"101",9.18654,41.43027
"102",9.18654,41.43027
"103",-8.83061,37.3616
"104",-8.83061,37.3616
"105",-8.82317,40.4255
"106",-8.83041,37.45173
"107",-8.83061,37.3616
"108",-9.17452,39.52452
"109",2.5947,42.69557
"110",2.52171,42.71369
"111",-9.17189,38.44316
"112",-8.14379,38.16979
"113",-8.71352,38.44293
"114",9.14844,41.41623
"115",-8.71208,38.80341
"116",-8.71208,38.80341
"117",-9.1721,38.53328
"118",-8.83061,37.3616
"119",9.14844,41.41623
"120",9.14844,41.41623
"121",-8.83101,37.18132
"122",-8.83101,37.18132
"123",-8.71208,38.80341
"124",-8.71208,38.80341
"125",-8.71208,38.80341
"126",-8.71208,38.80341
"127",-9.05744,38.62351
"128",-9.05744,38.62351
"129",-9.05744,38.62351
"130",-9.05744,38.62351
"131",-8.71208,38.80341
"132",-8.71208,38.80341
"133",-9.05744,38.62351
"134",-9.05744,38.62351
"135",-9.05744,38.62351
"136",-9.05744,38.62351
"137",-9.05744,38.62351
"138",-9.05744,38.62351
"139",-9.05744,38.62351
"140",-9.05744,38.62351
"141",-9.05744,38.62351
"142",-9.05744,38.62351
"143",-9.05744,38.62351
"144",-9.05744,38.62351
"145",-9.05744,38.62351
"146",-9.05744,38.62351
"147",-9.05744,38.62351
"148",-9.05744,38.62351
"149",-9.05744,38.62351
"150",-9.05744,38.62351
"151",-9.05744,38.62351
"152",-9.05744,38.62351
"153",-9.05744,38.62351
"154",-9.05744,38.62351
"155",-9.05744,38.62351
"156",-8.83101,37.18132
"157",-8.83101,37.18132
"158",-9.05744,38.62351
"159",-9.05744,38.62351
"160",-9.05744,38.62351
"161",-9.05744,38.62351
"162",-9.05744,38.62351
"163",-9.05744,38.62351
"164",-9.05744,38.62351
"165",-9.05744,38.62351
"166",-8.71208,38.80341
"167",-9.05744,38.62351
"168",-9.05744,38.62351
"169",-8.71208,38.80341
"170",-9.05744,38.62351
"171",-8.71208,38.80341
"172",-9.05744,38.62351
"173",-9.05744,38.62351
"174",-9.05744,38.62351
"175",-9.05744,38.62351
"176",-9.05744,38.62351
"177",-9.05744,38.62351
"178",-8.71208,38.80341
"179",-9.05744,38.62351
"180",-9.05744,38.62351
"181",-9.05744,38.62351
"182",-9.05744,38.62351
"183",-9.05744,38.62351
"184",-9.05744,38.62351
"185",-9.05744,38.62351
"186",-8.71208,38.80341
"187",-9.05744,38.62351
"188",-9.05744,38.62351
"189",-9.05744,38.62351
"190",-8.71208,38.80341
"191",8.93257,41.49681
"192",8.70722,36.94583
"193",8.98444,37.10361
"194",8.98444,37.10361
"195",8.70722,36.94583
"196",-6.516209,36.992254
"197",3.140202,39.762104
"198",3.156896,39.760452
"199",-8.82341,40.33541
"200",-8.82725,38.80363
"201",-8.13411,38.98078
"202",-8.3666,38.80204
"203",-8.82959,37.81227
"204",-8.82959,37.81227
"205",-8.82979,37.72214
"206",-0.31,39.33
"207",-0.3,39.33
"208",-9.1721,38.53328
"209",-8.48876,37.81128
"210",-8.60237,37.81172
"211",-6.037,36.185
"212",-9.0573,38.44327
"213",9.14844,41.41623
"214",9.14844,41.41623
"215",3.124924,39.772263
"216",3.156896,39.760452
"217",3.134365,39.780704
"218",3.140202,39.762104
"219",-8.83061,37.3616
"220",-8.83061,37.3616
"221",-8.59943,38.35248
"222",9.26733,41.40918
"223",9.14844,41.41623
"224",-8.37054,38.35147
"225",-8.37132,38.26135
"226",9.26409,41.7853
"227",-8.294142,37.075039
"228",-8.82341,40.33541
"229",-0.55677,44.05925
"230",9.40072,41.70583
"231",-6.516209,36.992254
"232",8.83569,41.88438
"233",-4.791,36.938
"234",3.174706,39.749435
"235",-7.57487,38.07414
"236",-6.498349,37.125134
"237",-4.769,36.957
"238",9.26733,41.40918
"239",9.14844,41.41623
"240",8.7,36.945999
"241",8.7,36.945999
"242",-8.82341,40.33541
"243",9.14844,41.41623
"244",-8.8302,37.54187
"245",-8.94152,39.88504
"246",-0.3,39.31
"247",-0.32,39.34
"248",-0.32,39.35
"249",-0.31,39.33
"250",3.124924,39.772263
"251",3.140202,39.762104
"252",3.156896,39.760452
"253",3.124924,39.772263
"254",3.134365,39.780704
"255",-7.57487,38.07414
"256",-8.59843,38.53272
"257",-9.05744,38.62351
"258",-9.05744,38.62351
"259",-0.32,39.39
"260",-0.33,39.39
"261",-9.17189,38.44316
"262",-8.59793,38.62283
"263",-8.59793,38.62283
"264",-8.59843,38.53272
"265",-8.70529,40.42526
"266",-9.1721,38.53328
"267",-0.32,39.37
"268",-0.31,39.37
"269",9.29913,41.67491
"270",-6.26,38.04
"271",-8.982739,37.030514
"272",9.221103,41.438137
"273",-9.05825,39.61474
"274",-8.94249,38.71363
"275",-8.71458,38.17256
"276",-8.48626,38.17179
"277",-9.05744,38.62351
"278",-8.48562,38.26191
"279",-8.59993,38.26235
"280",-8.71423,38.26269
"281",-8.71245,38.71329
"282",-8.71423,38.26269
"283",-8.59993,38.26235
"284",-8.71423,38.26269
"285",-8.59993,38.26235
"286",-5.28,36.371
"287",-5.268,36.353
"288",3.124924,39.772263
"289",3.136768,39.766457
"290",3.156896,39.760452
"291",3.134365,39.780704
"292",-9.05744,38.62351
"293",-8.82896,38.08266
"294",-8.70489,40.51535
"295",-8.82341,40.33541
"296",9.005363,40.857475
"297",-0.31,39.34
"298",-0.3,39.33
"299",-8.4475,39.069444
"300",-6.1308,36.3025
"301",-8.44,39.06
"302",-7.3,39.34
"303",-9.17189,38.44316
"304",-9.17189,38.44316
"305",3.14489612944697,39.7712145423972
"306",-0.31,39.33
"307",-8.82341,40.33541
"308",-8.82811,38.44316
"309",-8.83,37.632
"310",9.14844,41.41623
"311",-8.83081,37.27146
"312",-8.83101,37.18132
"313",-8.83081,37.27146
"314",-9.0573,38.44327
"315",-4.82838,36.58752
"316",3.174706,39.749435
"317",3.134365,39.780704
"318",3.156896,39.760452
"319",3.124924,39.772263
"320",3.134365,39.780704
"321",3.125525,39.782024
"322",-8.15611,37.08829
"323",-0.4,38.99
"324",-8.216014,37.088768
"325",-8.82896,38.08266
"326",-8.71281,38.62317
"327",-8.94249,38.71363
"328",-8.82747,38.71352
"329",-9.05737,38.53339
"330",-8.71281,38.62317
"331",-9.05744,38.62351
"332",-8.71388,38.35281
"333",-9.05737,38.53339
"334",-8.71281,38.62317
"335",-8.82747,38.71352
"336",-8.82811,38.44316
"337",-9.1721,38.53328
"338",-8.59943,38.35248
"339",-8.71388,38.35281
"340",-8.59943,38.35248
"341",-9.05737,38.53339
"342",-8.82703,38.89375
"343",-8.94242,38.80375
"344",-8.82833,38.35303
"345",-8.59943,38.35248
"346",-9.05737,38.53339
"347",-8.71388,38.35281
"348",-8.71388,38.35281
"349",-8.59943,38.35248
"350",-8.71281,38.62317
"351",-8.71388,38.35281
"352",-8.71388,38.35281
"353",-8.71208,38.80341
"354",-8.48562,38.26191
"355",-8.94242,38.80375
"356",-8.94242,38.80375
"357",-8.71245,38.71329
"358",-8.48499,38.35203
"359",-8.59943,38.35248
"360",-8.59943,38.35248
"361",-8.71388,38.35281
"362",-8.48499,38.35203
"363",-8.82833,38.35303
"364",-8.71352,38.44293
"365",-8.94242,38.80375
"366",-8.48562,38.26191
"367",-8.48562,38.26191
"368",10.63339,36.87311
"369",-6.031583,36.18275
"370",-6.031583,36.18275
"371",-6.037,36.185
"372",3.156896,39.760452
"373",9.371964,41.678585
"374",9.211175,41.641464
"375",9.335168,41.561161
"376",9.35842,41.744
"377",-6.05,36.16
"378",9.526714,42.113808
"379",3.134365,39.780704
"380",3.136768,39.766457
"381",-8.59843,38.53272
"382",-8.59843,38.53272
"383",-8.82811,38.44316
"384",-8.82811,38.44316
"385",-8.82811,38.44316
"386",-8.82811,38.44316
"387",-8.82811,38.44316
"388",-8.82811,38.44316
"389",-0.3,39.32
"390",-0.3,39.32
"391",-0.32,39.37
"392",-5.80187,36.09502
"393",-8.71208,38.80341
"394",-8.82811,38.44316
"395",9.14844,41.41623
"396",9.14844,41.41623
"397",-0.31,39.33
"398",-0.31,39.33
"399",-8.82811,38.44316
"400",-8.82959,37.81227
"401",-8.71352,38.44293
"402",-8.82811,38.44316
"403",-8.82811,38.44316
"404",-8.82811,38.44316
"405",-8.9427,38.44327
"406",-8.82811,38.44316
"407",-8.59943,38.35248
"408",-4.7479,36.4851
"409",9.10583,41.42556
"410",-4.74671,36.48711
"411",-6.566691,37.0485
"412",-9.29049,39.43418
"413",9.48019,42.03036
"414",-4.74671,36.48711
"415",-0.31,39.33
"416",-8.82364,40.24531
"417",-0.3,39.33
"418",-8.84,37.33
"419",-8.84,37.33
"420",-8.71352,38.44293
"421",-8.82875,38.17278
"422",-8.71352,38.44293
"423",-8.71352,38.44293
"424",-8.82896,38.08266
"425",-8.82875,38.17278
"426",-8.71458,38.17256
"427",-8.82875,38.17278
"428",-8.82959,37.81227
"429",-8.82979,37.72214
"430",-8.82979,37.72214
"431",-4.7479,36.4851
"432",-4.74671,36.48711
"433",-4.828,36.586
"434",-6.26,38.04
"435",-6.26,38.04
"436",-0.31,39.33
"437",-5.80187,36.09502
"438",-4.26,39.07
"439",-0.3,39.32
"440",-8.82364,40.24531
"441",-8.94175,39.61474
"442",-0.3,39.33
"443",-8.82811,38.44316
"444",-8.82811,38.44316
"445",-8.82811,38.44316
"446",-8.82811,38.44316
"447",-8.82811,38.44316
"448",-8.82811,38.44316
"449",-8.82811,38.44316
"450",-8.82811,38.44316
"451",-8.82811,38.44316
"452",-8.82811,38.44316
"453",-8.82811,38.44316
"454",-8.82811,38.44316
"455",-8.82811,38.44316
"456",-8.82811,38.44316
"457",-8.82811,38.44316
"458",-8.82811,38.44316
"459",-8.82811,38.44316
"460",-8.82811,38.44316
"461",-8.82811,38.44316
"462",-8.82811,38.44316
"463",-8.82811,38.44316
"464",-8.82811,38.44316
"465",-8.82811,38.44316
"466",-8.82811,38.44316
"467",-8.82811,38.44316
"468",-8.82811,38.44316
"469",-8.82811,38.44316
"470",-8.82811,38.44316
"471",-8.82811,38.44316
"472",-8.82811,38.44316
"473",-8.82811,38.44316
"474",-8.82811,38.44316
"475",-8.82811,38.44316
"476",-8.82811,38.44316
"477",-8.82811,38.44316
"478",-8.82811,38.44316
"479",-8.82811,38.44316
"480",-8.82811,38.44316
"481",-8.82811,38.44316
"482",-8.82811,38.44316
"483",-8.82811,38.44316
"484",-8.82811,38.44316
"485",-8.82811,38.44316
"486",-8.82811,38.44316
"487",-8.82811,38.44316
"488",-8.82811,38.44316
"489",-8.82811,38.44316
"490",-8.82811,38.44316
"491",-8.82811,38.44316
"492",-8.82811,38.44316
"493",-8.82811,38.44316
"494",-8.82811,38.44316
"495",-8.82811,38.44316
"496",-8.82811,38.44316
"497",-8.4475,39.069444
"498",-6.1308,36.3025
"499",-8.44,39.06
"500",-7.3,39.34
"501",-9.17189,38.44316
"502",-9.17189,38.44316
"503",3.14489612944697,39.7712145423972
"504",-0.31,39.33
"505",-8.82341,40.33541
"506",-8.82811,38.44316
"507",-8.83,37.632
"508",9.14844,41.41623
"509",-8.83081,37.27146
"510",-8.83101,37.18132
"511",-8.83081,37.27146
"512",-9.0573,38.44327
"513",-4.82838,36.58752
"514",3.174706,39.749435
"515",3.134365,39.780704
"516",3.156896,39.760452
"517",3.124924,39.772263
